Signatur,Sortierung,Spider,Test,Parameter,Bedeutung,Format,URL (manuell),Bezeichnung der URL (nur intern),Stufe 2 de,Stufe 2 fr,Stufe 2 it,Stufe 3 de,Stufe 3 fr,Stufe 3 it,Matching,GN-Match,Bemerkung DE,Bemerkung FR,Bemerkung IT,interne Bemerkung,Gesetzliche Grundlage,Aktivität
NW_EK_001,11,,,,,,,,Enteignungskommission,,,,,,,,,,,,NW 266.1,
NW_RR_001,12,,,,,,,,Regierungsrat,,,,,,,,,,,,NW 265.1,
NW_VB_001,13,,,,,,,,Verwaltungsbehörden,,,,,,,,,,,,NW 265.1,
NW_UPL_001,98,XX_Upload,,,,,,Upload,Upload,,,,,,,,,,,,,
NW_XX_001,99,,,,,,,,Sonstiges,,,,,,,,,,,,,
OW_VG_001,1,OW_Gerichte,,,,,http://rechtsprechung.ow.ch/le/,Entscheidpublikation Obwalden,Verwaltungs- und Verwaltungsgerichtsentscheide (VVGE),,,,,,,1#VVGE,,,,,OW 134.1,
OW_OG_001,2,OW_Gerichte,,,,,http://rechtsprechung.ow.ch/le/,,Amtsbericht über die Rechtspflege (AbR),,,,,,,1#AbR,,,,,OW 134.1,
OW_VB_001,3,OW_Gerichte,,,,,http://rechtsprechung.ow.ch/le/,,Gerichts- und Verwaltungsentscheide (OGVE),,,,,,,1#OGVE,,,,,OW 134.1,
OW_SA_001,4,,,,,,http://rechtsprechung.ow.ch/le/,,Saatsanwaltschaft,,,,,,,,,,,,OW 134.1,
OW_ZMG_001,5,,,,,,http://rechtsprechung.ow.ch/le/,,Zwangsmassnahmengericht,,,,,,,,art. 48 OW 134.1,,,,OW 134.1,
OW_JUA_001,6,,,,,,,,Jugendanwaltschaft,,,,,,,,,,,,OW 134.1,
OW_VG_001,7,,,,,,http://rechtsprechung.ow.ch/le/,Entscheidpublikation Obwalden,Verwaltungsgericht,,,,,,,,,,,,OW 134.1,
OW_AK_001,8,,,,,,,,Anwaltskommission,,,,,,,,,,,,OW 134.4,
OW_SK_001,9,,,,,,,,Schätzungskommission,,,,,,,,nach Enteignungsgesetz,,,,OW 760.1,
OW_SRK_001,10,,,,,,,,Steuerrekurskommission,,,,,,,,,,,,OW 641.4,
OW_RR_001,11,,,,,,http://rechtsprechung.ow.ch/le/,Entscheidpublikation Obwalden,Regierungsrat,,,,,,,,,,,,OW 130.1,
OW_VB_001,12,,,,,,http://rechtsprechung.ow.ch/le/,Entscheidpublikation Obwalden,Verwaltungsbehörden,,,,,,,,,,,,OW 130.1,
OW_UPL_001,98,XX_Upload,,,,,,Upload,Upload,,,,,,,,,,,,,
OW_XX_001,999,OW_Gerichte,,,,,http://rechtsprechung.ow.ch/le/,,Sonstiges,,,,,,,,,,,,,
SG_FR_001,1,,,,,,,,Vermittlungsämter,,,,,,,,,,,,SG 941.1,
SG_SBMP_001,2,,,,,,,,Schlichtungsstellen für Miet- und Pachtverhältnisse,,,,,,,,,,,,SG 941.1,
SG_SSAV_001,3,,,,,,,,Schlichtungsstellen für Arbeitsverhältnisse,,,,,,,,,,,,SG 941.1,
SG_SBGG_001,4,,,,,,,,Schlichtungsstelle für Klagen nach dem Gleichstellungsgesetz,,,,,,,,,,,,SG 941.1,
SG_RZMG_001,5,,,,,,,,Regionale Zwangsmassnahmenrichter,,,,,,,,,,,,,
SG_BZG_001,6,,,,,,,,Kreisgerichte,,,Zivilsachen,,,Abteilung,,,,,,SG 941.1,
SG_BZG_002,7,,,,,,,,Kreisgerichte,,,Strafsachen,,,Abteilung,,,,,,SG 941.1,
SG_BZG_003,8,,,,,,,,Kreisgerichte,,,Sonstiges,,,,,,,,,,
SG_KG_001,9,SG_Gerichte,,ab,Entscheiddatum,tt.mm.jjjj,https://publikationen.sg.ch/rechtsprechung-gerichte/,Rechtsprechung Gerichte,Kantonsgericht,,,Strafkammer und Anklagekammer,,,Strafkammer,,,,,,SG 941.1,
SG_KG_002,10,SG_Gerichte,,ab,Entscheiddatum,tt.mm.jjjj,https://publikationen.sg.ch/rechtsprechung-gerichte/,Rechtsprechung Gerichte,Kantonsgericht,,,Zivilkammern (inkl. Einzelrichter),,,Zivilkammer,,,,,,SG 941.1,
SG_KG_999,11,SG_Gerichte,,ab,Entscheiddatum,tt.mm.jjjj,https://publikationen.sg.ch/rechtsprechung-gerichte/,Rechtsprechung Gerichte,Kantonsgericht,,,Sonstiges,,,,,,,,,,
SG_KG_003,22,SG_Gerichte,,ab,Entscheiddatum,tt.mm.jjjj,https://publikationen.sg.ch/rechtsprechung-gerichte/,Rechtsprechung Gerichte,Kantonsgericht,,,Anwaltskammer,,,,,,,,,SG 963.70,
SG_HG_001,12,SG_Gerichte,,ab,Entscheiddatum,tt.mm.jjjj,https://publikationen.sg.ch/rechtsprechung-gerichte/,Rechtsprechung Gerichte,Handelsgericht,,,,,,,,,,,,SG 941.1,
SG_ABSK_001,13,SG_Gerichte,,ab,Entscheiddatum,tt.mm.jjjj,https://publikationen.sg.ch/rechtsprechung-gerichte/,Rechtsprechung Gerichte,Kantonale Aufsichtsbehörde für Schuldbetreibung und Konkurs,,,,,,Schuldbetreibung,,,,,,SG 941.1,
SG_VWEK_001,14,SG_Gerichte,,ab,Entscheiddatum,tt.mm.jjjj,https://publikationen.sg.ch/rechtsprechung-gerichte/,Rechtsprechung Gerichte,Verwaltungsrekurskommission,,,,,,,,,,,,SG 941.1,
SG_VSG_001,15,SG_Gerichte,,ab,Entscheiddatum,tt.mm.jjjj,https://publikationen.sg.ch/rechtsprechung-gerichte/,Rechtsprechung Gerichte,Versicherungsgericht,,,,,,,,,,,,SG 941.1,
SG_VG_001,16,SG_Gerichte,,ab,Entscheiddatum,tt.mm.jjjj,https://publikationen.sg.ch/rechtsprechung-gerichte/,Rechtsprechung Gerichte,Verwaltungsgericht,,,,,,,,,,,,SG 941.1,
SG_KGN_001,17,SG_Publikationen,,,,,https://publikationen.sg.ch/rechtsprechung-departemente/,Rechtsprechung Departemente,Kantonsgericht,,,,,,,,,,,,SG 951.1,
SG_VGN_001,18,SG_Publikationen,,,,,https://publikationen.sg.ch/rechtsprechung-departemente/,Rechtsprechung Departemente,Verwaltungsgericht,,,,,,,,,,,,SG 951.1,
SG_VB_001,18,SG_Publikationen,,,,,https://publikationen.sg.ch/rechtsprechung-departemente/,Rechtsprechung Departemente,Verwaltungsbehörden,,,Baudepartement,,,Baudepartement@Generalsekretariat Baudepartement,,,,,,SG 951.1,
SG_VB_002,19,SG_Publikationen,,,,,https://publikationen.sg.ch/rechtsprechung-departemente/,Rechtsprechung Departemente,Verwaltungsbehörden,,,etc,,,,,,,,,SG 951.1,
SG_KGN_999,20,SG_Publikationen,,,,,https://publikationen.sg.ch/rechtsprechung-departemente/,Sonstige,Sonstiges,,,,,,,,,,,,SG 951.1,
SG_ZMG_001,21,,,,,,,,Zwangsmassnahmengericht,,,,,,,,,,,,SG 962.1,
SG_SA_001,22,,,,,,,,Staatsanwaltschaft,,,,,,,,,,,,SG 962.1,
SG_JUA_001,23,,,,,,,,Jugendanwaltschaft,,,,,,,,,,,,SG 962.2,
SG_SK_001,24,,,,,,,,Schätzungskommission,,,,,,,,,,,,SG 735.1,
SG_UPL_001,98,XX_Upload,,,,,,Upload,Upload,,,,,,,,,,,,,
SG_XX_001,99,,,,,,,,Sonstiges,,,,,,,,,,,,,
SH_AK_001,1,,,,,,,,Aufsichtsbehörde über das Anwaltswesen,,,,,,,,,,,,SH 173.800,
SH_FR_001,2,,,,,,,,Friedensrichteramt,,,,,,,,,,,,SH 173.200,
SH_KG_001,3,,,,,,,,Kantonsgericht,,,Zivilkammer,,,,,,,,,SH 173.200,
SH_KG_002,4,,,,,,,,Kantonsgericht,,,Strafkammer,,,,,,,,,SH 173.200,
SH_KG_003,5,,,,,,,,Kantonsgericht,,,Zwangsmassnahmengericht,,,,,6 Einzelrichter,,,,SH 173.200,
SH_KG_004,6,,,,,,,,Kantonsgericht,,,Sonstiges,,,,,,,,,,
SH_KEBS_001,7,,,,,,,,Kindes- und Erwachsenenschutzbehörde,,,,,,,,,,,,SH 173.200,
SH_KEGB_001,8,,,,,,,,"Kommission für Enteignungen, Gebäudeversicherung und Brandschutz",,,,,,,,,,,,SH 173.200,
SH_SBM_001,9,,,,,,,,Schlichtungsstelle für Mietsachen,,,,,,,,,,,,SH 173.200,
SH_SSDE_001,10,,,,,,,,Schlichtungsstelle bei Diskriminierungen im Erwerbsleben,,,,,,,,,,,,SH 173.200,
SH_WSSK_001,11,,,,,,,,Schätzungskommission für Wildschäden,,,,,,,,,,,,SH 173.200,
SH_OG_001,12,SH_OG,,,,,http://obergerichtsentscheide.sh.ch/,Obergerichtsentscheide des Kantons Schaffhausen,Obergericht,,,,,,,,,,,,SH 173.200,
SH_RKJV_001,13,,,,,,,,Rechtspflegekommission für die Justizverwaltung,,,,,,,,,,,,SH 173.200,
SH_SGSV_001,14,,,,,,,,Schiedsgericht in Sozialversicherungssachen,,,,,,,,,,,,SH 172.200,
SH_SRK_001,15,,,,,,,,Steuerkommission,,,,,,,,,,,,SH 641.100,
SH_SA_001,16,,,,,,,,Staatsanwaltschaft,,,,,,,,,,,,SH 173.200,
SH_LWSG_001,17,,,,,,,,Landwirtschaftliches Schiedsgericht,,,,,,,,,,,,SH 173.200,
SH_RR_001,18,,,,,,,,Regierungsrat,,,,,,,,,,,,SH 172.200,
SH_VB_001,19,,,,,,,,Verwaltungsbehörden,,,,,,,,,,,,SH 172.200,
SH_UPL_001,98,XX_Upload,,,,,,Upload,Upload,,,,,,,,,,,,,
SH_XX_001,99,,,,,,,,Sonstiges,,,,,,,,,,,,,
SO_FR_001,1,,,,,,,,Friedensrichter,,,,,,,,,,,,SO 125.12,
SO_SBMP_001,2,,,,,,,,Schlichtungsbehörden für Miete und Pacht,,,,,,,,,,,,SO 125.12,
SO_SBGG_001,3,,,,,,,,Kantonale Schlichtungsbehörde für Gleichstellung von Frau und Mann,,,,,,,,,,,,SO 125.12,
SO_RA_001,4,,,,,,,,Richterämter,,,Zivilsachen,,,,,,,,,SO 125.12,
SO_RA_002,5,,,,,,,,Richterämter,,,Strafsachen,,,,,,,,,SO 125.12,
SO_RA_003,6,,,,,,,,Richterämter,,,Sonstiges,,,,,,,,,SO 125.12,
SO_OG_001,7,SO_Omni,,ab,Entscheiddatum,tt.mm.jjjj,https://gerichtsentscheide.so.ch/cgi-bin/nph-omniscgi.exe?OmnisPlatform=WINDOWS&WebServerUrl=https://gerichtsentscheide.so.ch&WebServerScript=/cgi-bin/nph-omniscgi.exe&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=7001&Aufruf=loadTemplate&cTemplate=/simple/search.html&Schema=JGWEB&cSprache=DE&Parametername=WEB&nAnzahlTrefferProSeite=5&nSeite=1&bInstanzInt=all,Gerichtsentscheide,Obergericht,,,Anklagekammer,,,,1#AKBES,,,,,SO 125.12,
SO_OG_002,8,SO_Omni,,ab,Entscheiddatum,tt.mm.jjjj,https://gerichtsentscheide.so.ch/cgi-bin/nph-omniscgi.exe?OmnisPlatform=WINDOWS&WebServerUrl=https://gerichtsentscheide.so.ch&WebServerScript=/cgi-bin/nph-omniscgi.exe&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=7001&Aufruf=loadTemplate&cTemplate=/simple/search.html&Schema=JGWEB&cSprache=DE&Parametername=WEB&nAnzahlTrefferProSeite=5&nSeite=1&bInstanzInt=all,Gerichtsentscheide,Obergericht,,,Beschwerdekammer,,,,1#BKBES|1#BKAUS,,,,,SO 125.12,
SO_OG_003,9,SO_Omni,,ab,Entscheiddatum,tt.mm.jjjj,https://gerichtsentscheide.so.ch/cgi-bin/nph-omniscgi.exe?OmnisPlatform=WINDOWS&WebServerUrl=https://gerichtsentscheide.so.ch&WebServerScript=/cgi-bin/nph-omniscgi.exe&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=7001&Aufruf=loadTemplate&cTemplate=/simple/search.html&Schema=JGWEB&cSprache=DE&Parametername=WEB&nAnzahlTrefferProSeite=5&nSeite=1&bInstanzInt=all,Gerichtsentscheide,Obergericht,,,Jugendgerichtskammer,,,,1#ZZ,,,,,SO 125.12,
SO_OG_004,10,SO_Omni,,ab,Entscheiddatum,tt.mm.jjjj,https://gerichtsentscheide.so.ch/cgi-bin/nph-omniscgi.exe?OmnisPlatform=WINDOWS&WebServerUrl=https://gerichtsentscheide.so.ch&WebServerScript=/cgi-bin/nph-omniscgi.exe&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=7001&Aufruf=loadTemplate&cTemplate=/simple/search.html&Schema=JGWEB&cSprache=DE&Parametername=WEB&nAnzahlTrefferProSeite=5&nSeite=1&bInstanzInt=all,Gerichtsentscheide,Obergericht,,,Zivilkammer,,,,1#ZKBER|1#ZKEIV|1#OGBES|1#ZKBES|#OGERL|1#ZKAPP|1#ZKERL|1#ZKNIB|1#ZKREG,,,,,SO 125.12,
SO_OG_005,11,SO_Omni,,ab,Entscheiddatum,tt.mm.jjjj,https://gerichtsentscheide.so.ch/cgi-bin/nph-omniscgi.exe?OmnisPlatform=WINDOWS&WebServerUrl=https://gerichtsentscheide.so.ch&WebServerScript=/cgi-bin/nph-omniscgi.exe&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=7001&Aufruf=loadTemplate&cTemplate=/simple/search.html&Schema=JGWEB&cSprache=DE&Parametername=WEB&nAnzahlTrefferProSeite=5&nSeite=1&bInstanzInt=all,Gerichtsentscheide,Obergericht,,,Schuldbetreibungs- und Konkurskammer,,,,1#SCWIF|1#SCBES|1#SCANF,,,,,SO 125.12,
SO_OG_006,12,SO_Omni,,ab,Entscheiddatum,tt.mm.jjjj,https://gerichtsentscheide.so.ch/cgi-bin/nph-omniscgi.exe?OmnisPlatform=WINDOWS&WebServerUrl=https://gerichtsentscheide.so.ch&WebServerScript=/cgi-bin/nph-omniscgi.exe&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=7001&Aufruf=loadTemplate&cTemplate=/simple/search.html&Schema=JGWEB&cSprache=DE&Parametername=WEB&nAnzahlTrefferProSeite=5&nSeite=1&bInstanzInt=all,Gerichtsentscheide,Obergericht,,,Strafkammer,,,,1#STBER|1#STBEJ|1#STAPA|1#STAPP|1#STBES|1#STDIV|1#STKAJ|1#STKAS|1#STKU|1#STREK|1#STREV,,,,,SO 125.12,
SO_VSG_001,13,SO_Omni,,ab,Entscheiddatum,tt.mm.jjjj,https://gerichtsentscheide.so.ch/cgi-bin/nph-omniscgi.exe?OmnisPlatform=WINDOWS&WebServerUrl=https://gerichtsentscheide.so.ch&WebServerScript=/cgi-bin/nph-omniscgi.exe&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=7001&Aufruf=loadTemplate&cTemplate=/simple/search.html&Schema=JGWEB&cSprache=DE&Parametername=WEB&nAnzahlTrefferProSeite=5&nSeite=1&bInstanzInt=all,Gerichtsentscheide,Versicherungsgericht,,,,,,,1#VSBES|1#VSKLA,,,,,SO 125.12,
SO_VG_001,14,SO_Omni,,ab,Entscheiddatum,tt.mm.jjjj,https://gerichtsentscheide.so.ch/cgi-bin/nph-omniscgi.exe?OmnisPlatform=WINDOWS&WebServerUrl=https://gerichtsentscheide.so.ch&WebServerScript=/cgi-bin/nph-omniscgi.exe&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=7001&Aufruf=loadTemplate&cTemplate=/simple/search.html&Schema=JGWEB&cSprache=DE&Parametername=WEB&nAnzahlTrefferProSeite=5&nSeite=1&bInstanzInt=all,Gerichtsentscheide,Verwaltungsgericht,,,,,,,1#VWBES|1#VWKLA|1#VWDIV,,,,,SO 125.12,
SO_SK_001,15,SO_Omni,,ab,Entscheiddatum,tt.mm.jjjj,https://gerichtsentscheide.so.ch/cgi-bin/nph-omniscgi.exe?OmnisPlatform=WINDOWS&WebServerUrl=https://gerichtsentscheide.so.ch&WebServerScript=/cgi-bin/nph-omniscgi.exe&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=7001&Aufruf=loadTemplate&cTemplate=/simple/search.html&Schema=JGWEB&cSprache=DE&Parametername=WEB&nAnzahlTrefferProSeite=5&nSeite=1&bInstanzInt=all,Gerichtsentscheide,Schätzungskommission,,,,,,,1#SKSUB|1#SKGEB|1#SKDIV,,,,,SO 125.12,
SO_STG_001,16,SO_Omni,,ab,Entscheiddatum,tt.mm.jjjj,https://gerichtsentscheide.so.ch/cgi-bin/nph-omniscgi.exe?OmnisPlatform=WINDOWS&WebServerUrl=https://gerichtsentscheide.so.ch&WebServerScript=/cgi-bin/nph-omniscgi.exe&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=7001&Aufruf=loadTemplate&cTemplate=/simple/search.html&Schema=JGWEB&cSprache=DE&Parametername=WEB&nAnzahlTrefferProSeite=5&nSeite=1&bInstanzInt=all,Gerichtsentscheide,Steuergericht,,,,,,,1#SGSTA|1#SGNEB|1#SGDIV|1#SGSEK|1#SGGEM|1#SGBST|1#SGGEM|1#SGREV|1#SGVST,,,,,SO 125.12,
SO_OG_999,19,SO_Omni,,ab,Entscheiddatum,tt.mm.jjjj,https://gerichtsentscheide.so.ch/cgi-bin/nph-omniscgi.exe?OmnisPlatform=WINDOWS&WebServerUrl=https://gerichtsentscheide.so.ch&WebServerScript=/cgi-bin/nph-omniscgi.exe&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=7001&Aufruf=loadTemplate&cTemplate=/simple/search.html&Schema=JGWEB&cSprache=DE&Parametername=WEB&nAnzahlTrefferProSeite=5&nSeite=1&bInstanzInt=all,Gerichtsentscheide,Obergericht,,,Sonstiges,,,,,,,,,,
SO_SK_002,22,,,,,,https://so.ch/gerichte/weitere-gerichte/schaetzungskommission/archiv-entscheide/,Archiv Entscheide,Schätzungskommission,,,,,,,,,,,,,
SO_SK_003,23,,,,,,https://so.ch/gerichte/weitere-gerichte/schaetzungskommission/aktuelle-entscheide/,Aktuelle Entscheide,Schätzungskommission,,,,,,,,,,,,,
SO_ZMG_001,24,,,,,,,,Haftgericht,,,,,,,,Zwangsmassnhamengericht,,,,SO 125.12,
SO_JUG_001,25,,,,,,https://gerichtsentscheide.so.ch/cgi-bin/nph-omniscgi.exe?OmnisPlatform=WINDOWS&WebServerUrl=https://gerichtsentscheide.so.ch&WebServerScript=/cgi-bin/nph-omniscgi.exe&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=7001&Aufruf=loadTemplate&cTemplate=/simple/search.html&Schema=JGWEB&cSprache=DE&Parametername=WEB&nAnzahlTrefferProSeite=5&nSeite=1&bInstanzInt=all,Gerichtsentscheide,Jugendgericht,,,,,,,,,,,,SO 125.12,
SO_SA_001,26,,,,,,,,Staatsanwaltschaft,,,,,,,,,,,,SO 125.12,
SO_JUA_001,27,,,,,,,,Jugenanwaltschaft,,,,,,,,,,,,SO 125.12,
SO_GVK_001,28,,,,,,,,Gerichtsverwaltungskommission,,,,,,,,,,,,SO 125.12,
SO_RR_001,29,,,,,,,,Regierungsrat,,,,,,,,,,,,SO 124.11,
SO_VB_001,30,,,,,,,,Verwaltungsbehörden,,,,,,,,,,,,SO 124.11,
SO_AK_001,31,,,,,,,,Anwaltskammer,,,,,,,,,,,,SO 127.10,
SO_UPL_001,98,XX_Upload,,,,,,Upload,Upload,,,,,,,,,,,,,
SO_XX_001,99,,,,,,,,Sonstiges,,,,,,,,,,,,,
SZ_FR_001,1,,,,,,,,Vermittlerämter,,,,,,,,,,,,SZ 231.110,
SZ_BZG_001,2,,,,,,,,Bezirksgerichte,,,Zivilsachen,,,,,,,,,SZ 231.110,
SZ_BZG_002,3,,,,,,,,Bezirksgerichte,,,Strafsachen,,,,,,,,,SZ 231.110,
SZ_BZG_003,4,,,,,,,,Bezirksgerichte,,,Sonstiges,,,,,,,,,SZ 231.110,
SZ_KG_001,5,SZ_Gerichte,,,,,https://gerichte.sz.ch/,Entscheide des Kantonsgerichts Schwyz,Kantonsgericht,,,1. Zivilkammer,,,,1#ZK1,,,,,SZ 231.110,
SZ_KG_002,6,SZ_Gerichte,,,,,https://gerichte.sz.ch/,Entscheide des Kantonsgerichts Schwyz,Kantonsgericht,,,2. Zivilkammer,,,,1#ZK2,,,,,SZ 231.110,
SZ_KG_003,7,SZ_Gerichte,,,,,https://gerichte.sz.ch/,Entscheide des Kantonsgerichts Schwyz,Kantonsgericht,,,Strafkammer,,,,1#STK,,,,,SZ 231.110,
SZ_KG_004,8,SZ_Gerichte,,,,,https://gerichte.sz.ch/,Entscheide des Kantonsgerichts Schwyz,Kantonsgericht,,,Beschwerdekammer,,,,1#BEK,,,,,SZ 231.110,
SZ_KG_999,9,SZ_Gerichte,,,,,https://gerichte.sz.ch/,Entscheide des Kantonsgerichts Schwyz,Kantonsgericht,,,Sonstiges,,,,,,,,,,
SZ_AK_001,10,,,,,,,,Anwaltskommission,,,,,,,,,,,,SZ 280.110,
SZ_SBGG_001,11,,,,,,,,Schlichtungsstelle für Diskriminierungsstreitigkeiten im Erwerbsleben,,,,,,,,,,,,SZ 231.110,
SZ_SBM_001,12,,,,,,,,Schlichtungsbehörden im Mietwesen,,,,,,,,,,,,SZ 231.110,
SZ_VG_001,13,SZ_Verwaltungsgericht,,,,,https://gerichte.sz.ch/vg/,,Verwaltungsgericht,,,3. Kammer,,,,1#III,,,,,SZ 231.110,
SZ_VG_002,14,SZ_Verwaltungsgericht,,,,,https://gerichte.sz.ch/vg/,,Verwaltungsgericht,,,2. Kammer,,,,1#II,,,,,SZ 231.110,
SZ_VG_003,15,SZ_Verwaltungsgericht,,,,,https://gerichte.sz.ch/vg/,,Verwaltungsgericht,,,1. Kammer,,,,1#I,,,,,SZ 231.110,
SZ_SJUG_001,16,,,,,,,,Straf- und Jugendgericht,,,Kammern,,,Kammer,,,,,,SZ 231.110,
SZ_SJUG_002,17,,,,,,,,Straf- und Jugendgericht,,,Jugendgericht,,,,,,,,,SZ 231.110,
SZ_SJUG_003,18,,,,,,,,Straf- und Jugendgericht,,,Sonstiges,,,,,,,,,SZ 231.110,
SZ_ZMG_001,19,,,,,,https://gerichte.sz.ch/,Entscheide des Kantonsgerichts Schwyz,Zwangsmassnahmengericht,,,,,,,,,,,,SZ 231.110,
SZ_SA_001,20,,,,,,,,Staatsanwaltschaft,,,Oberstaatsanwaltschaft,,,,,,,,,SZ 231.110,
SZ_SA_002,21,,,,,,,,Staatsanwaltschaft,,,Kantonale Staatsanwaltschaft und Jugendanwaltschaft,,,,,,,,,SZ 231.110,
SZ_SA_003,22,,,,,,,,Staatsanwaltschaft,,,Staatsanwaltschaften der Bezirke,,,,,,,,,SZ 231.110,
SZ_SA_004,23,,,,,,,,Staatsanwaltschaft,,,Sonstiges,,,,,,,,,,
SZ_SK_001,24,,,,,,,,Schätzungskommission,,,,,,,,,,,,SZ 470.100,
SZ_RR_001,25,,,,,,,,Regierungsrat,,,,,,,,,,,,SZ 234.110,
SZ_VB_001,26,,,,,,,,Verwaltungsbehörden,,,,,,,,,,,,SZ 234.110,
SZ_SRK_001,27,,,,,,,,Steuerkommission,,,,,,,,,,,,SZ 172.200,
SZ_SOBE_001,991,,,,,,https://www.kgsz.ch/kantonsgericht/rechtsprechung,Entscheide der Gerichts- und Verwaltungsbehörden (EGV-SZ),Sonstiges,,,,,,,,,,,,,
SZ_SOES_002,992,,,,,,https://www.sz.ch/behoerden/amtsblatt-gesetze-entscheide/entscheide/entscheidsammlungen.html/72-416-413-680-674,Entscheidsammlungen,Sonstiges,,,,,,,,,,,,,
SZ_UPL_001,98,XX_Upload,,,,,,Upload,Upload,,,,,,,,,,,,,
SZ_XX_001,992,,,,,,https://www.sz.ch/behoerden/amtsblatt-gesetze-entscheide/entscheide/entscheidsammlungen.html/72-416-413-680-674,Entscheidsammlungen,Sonstiges,,,,,,,,,,,,,
TI_PP_001,1,TI_Gerichte,,ab,Entscheidjahr,JJJJ,https://www.sentenze.ti.ch/,Sentenze e decisoni,,,Il Presidente della Pretura Penale,,,,#PRPEN#,,,,,,TI 177.100,
TI_TCA_001,2,TI_Gerichte,,ab,Entscheidjahr,JJJJ,https://www.sentenze.ti.ch/,Sentenze e decisoni,,,Tribunale cantonale amministrativo,,,,#TRAM#,,,,,,TI 177.100,
TI_TCAS_001,3,TI_Gerichte,,ab,Entscheidjahr,JJJJ,https://www.sentenze.ti.ch/,Sentenze e decisoni,,,Tribunale cantonale delle assicurazioni,,,,#TCA#,,,,,,TI 177.100,
TI_CATI_001,4,TI_Gerichte,,ab,Entscheidjahr,JJJJ,https://www.sentenze.ti.ch/,Sentenze e decisoni,,,Camera di diritto tributario,,,,#CDT#,,,,,,TI 177.100,
TI_TE_001,5,TI_Gerichte,,ab,Entscheidjahr,JJJJ,https://www.sentenze.ti.ch/,Sentenze e decisoni,,,Tribunale di espropriazione,,,,#TE#,,,,,,TI 177.100,
TI_TRAC_001,6,TI_Gerichte,,ab,Entscheidjahr,JJJJ,https://www.sentenze.ti.ch/,Sentenze e decisoni,,,Tribunale di appello diritto civile,,,La prima Camera civile,#ICCA#,,,,,,TI 177.100,
TI_TRAC_002,7,TI_Gerichte,,ab,Entscheidjahr,JJJJ,https://www.sentenze.ti.ch/,Sentenze e decisoni,,,Tribunale di appello diritto civile,,,La seconda Camera civile,#IICCA#,,,,,,TI 177.100,
TI_TRAC_003,8,TI_Gerichte,,ab,Entscheidjahr,JJJJ,https://www.sentenze.ti.ch/,Sentenze e decisoni,,,Tribunale di appello diritto civile,,,La terza Camera civile,#IIICC#,,,,,,TI 177.100,
TI_TRAC_004,9,TI_Gerichte,,ab,Entscheidjahr,JJJJ,https://www.sentenze.ti.ch/,Sentenze e decisoni,,,Tribunale di appello diritto civile,,,La Camera civile dei reclami,#CCR#,,,,,,TI 177.100,
TI_TRAC_005,10,TI_Gerichte,,ab,Entscheidjahr,JJJJ,https://www.sentenze.ti.ch/,Sentenze e decisoni,,,Tribunale di appello diritto civile,,,La Camera di cassazione civile,#CCC#,,,,,,TI 177.100,
TI_TRAC_006,11,TI_Gerichte,,ab,Entscheidjahr,JJJJ,https://www.sentenze.ti.ch/,Sentenze e decisoni,,,Tribunale di appello diritto civile,,,La Camera di esecuzione e fallimenti,#CEF#,,,,,,TI 177.100,
TI_TRAC_007,12,TI_Gerichte,,ab,Entscheidjahr,JJJJ,https://www.sentenze.ti.ch/,Sentenze e decisoni,,,Tribunale di appello diritto civile,,,Il presidenta della Camera di protezione,#CDP#,,,,,,TI 177.100,
TI_TRAP_001,13,TI_Gerichte,,ab,Entscheidjahr,JJJJ,https://www.sentenze.ti.ch/,Sentenze e decisoni,,,Tribunale di appello diritto penale,,,La Corte di cassazione e di revisione penale,#CCRP#,,,,,,TI 177.100,
TI_TRAP_002,14,TI_Gerichte,,ab,Entscheidjahr,JJJJ,https://www.sentenze.ti.ch/,Sentenze e decisoni,,,Tribunale di appello diritto penale,,,La Corte dei reclami penali,#CRPTI#,,,,,,TI 177.100,
TI_TPC_001,15,TI_Gerichte,,ab,Entscheidjahr,JJJJ,https://www.sentenze.ti.ch/,Sentenze e decisoni,,,Tribunale penale cantonale,,,,#PENAL#,,,,,,TI 177.100,
TI_CARP_001,16,TI_Gerichte,,ab,Entscheidjahr,JJJJ,https://www.sentenze.ti.ch/,Sentenze e decisoni,,,Corte di appello e di revisione penale,,,,#CARP#,,,,,,TI 177.100,
