Signatur,Sortierung,Spider,Test,Parameter,Bedeutung,Format,URL (manuell),Bezeichnung der URL (nur intern),Stufe 2 de,Stufe 2 fr,Stufe 2 it,Stufe 3 de,Stufe 3 fr,Stufe 3 it,Matching,GN-Match,Bemerkung DE,Bemerkung FR,Bemerkung IT,interne Bemerkung,Gesetzliche Grundlage,Aktivität
NE_TC_006,6,NE_Omni,,ab,Entscheiddatum,jjjj-mm-tt,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Tribunal Cantonal,,,"Cour Civile, Chambre des affaires arbitrales",,,1#CHAR,,,,,NE 161.1,
NE_TC_007,7,NE_Omni,,ab,Entscheiddatum,jjjj-mm-tt,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Tribunal Cantonal,,,Cour des mesures de protection de l'enfant et de l'adulte,,,1#CMPEA,,,,,NE 161.1,
NE_TC_008,8,NE_Omni,,ab,Entscheiddatum,jjjj-mm-tt,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Tribunal Cantonal,,,Autorité de recours en matière pénale,,,1#ARMP,,,,,NE 161.1,
NE_TC_009,9,NE_Omni,,ab,Entscheiddatum,jjjj-mm-tt,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Tribunal Cantonal,,,Cour pénale,,,1#CPEN,,,,,NE 161.1,
NE_TC_010,10,NE_Omni,,ab,Entscheiddatum,jjjj-mm-tt,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Tribunal Cantonal,,,Chambre d'accusation,,,1#CHAC,,,,,,
NE_TC_011,11,NE_Omni,,ab,Entscheiddatum,jjjj-mm-tt,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Tribunal Cantonal,,,Cour d'assises,,,1#CA,,,,,,
NE_TC_012,12,NE_Omni,,ab,Entscheiddatum,jjjj-mm-tt,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Tribunal Cantonal,,,Cour de droit public,,,1#CDP,,,,,NE 161.1,
NE_TC_013,13,NE_Omni,,ab,Entscheiddatum,jjjj-mm-tt,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Tribunal Cantonal,,,Tribunal administratif,,,1#TA,,,,,,
NE_TC_014,14,NE_Omni,,ab,Entscheiddatum,jjjj-mm-tt,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Tribunal Cantonal,,,"Tribunal arbitral (selon les articles 89 LAMal, 27bis LAI, 57 LAA et 27 LAM)",,,1#TARB,,,,,NE 161.1,
NE_TC_015,15,NE_Omni,,ab,Entscheiddatum,jjjj-mm-tt,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Tribunal Cantonal,,,Hors rôle,,,1#HR,,,,,,
